id,twitter_id,handles,degree_range,snapshot_range
1,19284221,"News247gr",100500-166994,"1-48"
2,74543190,"PanosKammenos, panoskammenos",92315-97944,"1-48"
3,472857729,"akispaulopoulos",8914-10382,"1-48"
4,442649533,"Agronewsgr",2752-3476,"1-48"
5,317380812,"XrPanag, xrpanag",17952-18891,"1-48"
6,104552184,"paidisi",280-352,"1-48"
7,1537018699,"koutsoukosilia",2456-3658,"1-48"
8,558383750,"g_plakiotakis, G_Plakiotakis",3388-11734,"1-48"
9,521308614,"Makeleio_gr, makeleio_gr",8093-24777,"1-23, 25-48"
10,71482406,"FofiGennimata",26734-51642,"1-48"
11,189550637,"kouvie",10174-15992,"1-48"
12,866059077792739329,"NMpogiopoulos, nmpogiopoulos",7553-45527,"1-48"
13,777915348335091712,"St_Theodorakis",9809-15465,"1-48"
14,797882532,"Makis_Tr, makis_tr",20304-47482,"1-48"
15,1856636100,"reportaznet1",66-102,"1-48"
16,780600836,"bpapapanagiotou",15496-31408,"1-48"
17,539098641,"KSkandalidis",13357-17169,"1-48"
18,16888662,"nikoxy",19542-20861,"1-48"
19,2367424185,"pavpol2222",2511-26605,"1-48"
20,44845906,"arisdavarakis, ArisDavarakis",13911-14943,"1-48"
21,2449351489,"nragiou",2278-2379,"1-48"
22,434832879,"K_Hatzidakis",80210-116014,"1-48"
23,533041104,"AnnaAsimakopoul, @AnnaAsimakopoul",13254-24462,"1-48"
24,244946026,"ckoutras",31164-34562,"1-48"
25,2360726564,"jnmam1",42-51,"1-12"
26,1315242811,"anemosanti",11692-12179,"1-38"
27,444707209,"adavakis",684-1714,"1-48"
28,339846503,"MariaSpyraki, mariaspyraki",17782-27686,"1-48"
29,299724272,"dimkott",15250-17139,"1-48"
30,484702915,"KalafatisSt",5423-8436,"1-48"
31,334602996,"atsipras",514532-611135,"1-48"
32,293434226,"Kontrachannel, KontraChannel",9821-20697,"1-48"
33,2466630270,"ADimoschakis",1272-2997,"1-48"
34,516400360,"IliasKasidiaris",19618-30534,"1-48"
35,289527193,"KostasVaxevanis",424058-493724,"1-48"
36,130884030,"pitsirikos",118124-128910,"1-48"
37,573464951,"NYpofantis",15541-29558,"1-48"
38,1579634202,"p_dritseli",2686-3391,"1-48"
39,2426148662,"nostimonimar",1491-2194,"1-48"
40,2963278857,"IAIVATIDIS",569-1521,"1-29"
41,849120734,"zarpanews",2320-3233,"1-48"
42,700747080,"EleniZaroulia",1912-3004,"1-29"
43,630303210,"barbarousis, Barbarousis",3957-4376,"1-29"
44,13766852,"Dora_Bakoyannis",119950-172993,"1-48"
45,407091620,"katsaniotis",1370-4267,"1-48"
46,555858535,"vasiliskokkalhs, VASILISKOKKALHS",295-555,"1-48"
47,1157528792,"jmichelakis",11098-12527,"1-48"
48,569954111,"SpyrosDanellis, spyrosdanellis",4811-6590,"1-48"
49,233140263,"InfognomonPolit",2001-2473,"1-48"
50,72838721,"NKaklamanis, nkaklamanis",21042-27817,"1-48"
51,2748749053,"simoskedikoglou, SimosKedikoglou",4161-6568,"1-48"
52,183222891,"ALPHA_TV",285740-314220,"1-33"
53,435737814,"nkerameus",5155-58028,"1-48"
54,560942836,"DimokratiaNews",1996-2858,"1-48"
55,131500587,"topontiki, TOPONTIKI",93844-135956,"1-48"
56,67947092,"mavrogiorgos, Mavrogiorgos",8288-11145,"1-48"
57,630296143,"Panagiotisiliop",4371-5177,"1-29"
58,763951591,"mardas55",4423-4926,"1-48"
59,1875388802,"AnatropiMegaTV",12266-17553,"1-18"
60,499693655,"matrix24gr",8886-10680,"1-48"
61,2433290382,"johntheofilakto",72-342,"1-48"
62,1322498653,"elgeo4",51-55,"1-48"
63,402920490,"nikoskotzias, NikosKotzias",29147-48332,"1-48"
64,17991384,"nectarsant",1823-3447,"1-48"
65,312588137,"wwwstargr",92745-124311,"1-48"
66,4008768569,"ttheodoropoulo5",150-226,"1-48"
67,526374412,"hotdoc_mag",64840-89974,"1-48"
68,211465834,"anna_journalist",3672-4700,"1-48"
69,588106696,"BKegeroglou, bkegeroglou",5756-9195,"1-48"
70,20611290,"Mandravelis, mandravelis",43905-46941,"1-48"
71,278521416,"MariaKolliaTsar",2792-3090,"1-48"
72,545356505,"kellas_xristos",1454-2641,"1-48"
73,312968576,"arouraios_gr",6262-6740,"1-48"
74,559415635,"g_karatzaferis",1286-1374,"1-48"
75,408566492,"pskourl",56672-66700,"1-48"
76,921356571447308288,"nikos_toskas",556-6529,"1-48"
77,1461706872,"makiskouris, MakisKouris",1967-2029,"1-48"
78,52732962,"AvgiOnline",44532-84227,"1-48"
79,3936923243,"PanosSkourolia1",964-3952,"1-48"
80,2951077293,"PanagoulisSt",432-443,"1-10"
