twitter_handle,twitter_id,id,party
XarAthan,2840171877,105,0
xrisalex,93629265,425,0
amanatidis_g,1205419430781628416,484,0
amirasgiorgos,75256329,351,0
savanastasiadis,852566696,191,0
ArampatziFotini,537431019,171,0
l_avgenakis,706861315344748545,106,0
avgerinopoulou,142677826,405,0
GVagionas,2955647698,284,0
MVarvitsiotis,60591084,318,0
DimVartzopoulos,927913279,384,0
lakis_vas,961619128237940736,375,0
a_vesiropoulos,560852528,264,0
KostasVlasis,402714886,283,0
Vlachos_G,2613473180,96,0
MVoloudakis,21152451,447,0
MakisVoridis,540179903,139,0
Sofia_voultepsi,404193258,215,0
vroutsisgiannis,3064827747,212,0
georgantasgr,1150728876424867840,445,0
AdonisGeorgiadi,70340615,251,0
stergiannakis,1304901391,453,0
giogiakasv,907708101872283649,368,0
STEFANOS_GIKAS,395206721,394,0
gioulekaskostas,190278613,314,0
adavakis,444707209,27,0
NikosDendias,236744081,114,0
ChristosDimas_,491550694,92,0
ADimoschakis,2466630270,33,0
vdigalakis,2245911122,442,0
NoniDounia,1141433832769503238,441,0
AnnaEfthymiou_,529702286,353,0
than_zebilis,1137980607496183809,387,0
theodorikakosp,1149205366930071552,450,0
htheoharis,107136186,136,0
DimKairidis,2608056638,403,0
NKaklamanis,72838721,50,0
KalafatisSt,484702915,30,0
kallianos,310780249,409,0
pkappatos,1173581893079576580,488,0
k_karagounis,805151138,236,0
AnnaKaramanli,478754813,340,0
karamanlis_k,1156609842888552448,493,0
TheoKaraoglou,393292109,186,0
katsaniotis,407091620,45,0
katsafados,370598533,162,0
SimosKedikoglou,2748749053,51,0
keletsis,1158632932304674822,408,0
kellas_xristos,545356505,72,0
nkerameus,435737814,53,0
olgakef,2365419054,103,0
gkefalogiannis,562182659,122,0
Vkikilias,54283324,205,0
manoskonsolas,437388094,199,0
GKoumoutsakos,633098410,241,0
kutsubad,563969004,104,0
neokliskritikos,1139451418975330305,460,0
kyranakis,17132736,365,0
Stathis_Konst,557560811,437,0
giorgoskotsiras,2445790562,397,0
KotsosGiorgos,1161045320400343040,492,0
mvlazaridis,189807100,392,0
The_Leontaridis,540694975,360,0
liakosev,480344041,407,0
SpiliosL,1904674254,380,0
YiannisLoverdos,2500320130,166,0
ZettaMakri,2783917512,377,0
periklismantas,196941064,367,0
manolakosnik,1246802753759952899,490,0
maravegiaskost,2959151806,379,0
MarkopoulosDimi,590082909,433,0
GeorgiaMartinou,546281641,197,0
yiannismelas,197613052,359,0
nmitarakis,250518647,83,0
kmitsotakis,14283525,336,0
MonogiouKateri1,1140269473397694471,389,0
Dora_Bakoyannis,13766852,44,0
fbaraliakos,340183590,452,0
t_bartzokas,3410091958,434,0
BiziouStella,759834368168910849,454,0
ioannis_mpougas,947930930202673153,446,0
chboukoros1,982264362,133,0
athbouras,2976349222,224,0
BoutsikakisChr,849286834337271808,461,0
anikolakopoulos,1325311602,482,0
OikonomouB,47575786,112,0
joikonomou,265981780,498,0
npanagioto,2892644871,240,0
PapadopoulosMix,547869595,444,0
papakostakater,1134005835452076033,477,0
pappas_ioannis,2960720745,358,0
pasxalidisjohn,557882540,376,0
patsis_andreas,1010930311289556992,385,0
FotiniPipili,481393090,132,0
G_Plakiotakis,558383750,8,0
thanosplevris,112445908,390,0
Elena_Rapti,70973903,227,0
raptizoi,2443992852,436,0
SalmasMarios,335179820,214,0
samaras_antonis,83656002,315,0
maxsenetakis,404869413,362,0
efsimopoulos,110670092,356,0
AsiminaSkondra,1466870311,363,0
KostasSkrekas,3041226449,294,0
Skylakakis,41333290,501,0
vspanakis,162448017,423,0
cstaikouras,84853888,187,0
dionstamenitis,559643881,386,0
ChStefanadis,849094652,364,0
e_stylianidis,1614767336,378,0
gstylios,74694195,311,0
AngelosSyrigos,422814594,402,0
TagarasNikos,552151981,354,0
Tzavaraskon,2863966079,332,0
L_Tsavdaridis,787026822,382,0
tsiaras_kostas,974974055731355654,455,0
tsigris_angelos,409149518,462,0
vnaypsilantis,410883378,439,0
IasonFotilas,3063865762,274,0
pantamaximos,2969916503,349,0
tasos_chatziv,474756525,372,0
K_Hatzidakis,434832879,22,0
T_Cheimaras,2181688916,428,0
HionidisSavvas,888762865,414,0
chrysomallism,3405878033,464,0
iriniagath,487731215,413,1
nasosa8anasiou,965785002,287,1
Amanatidis_Gian,2192270316,117,1
sia_anag,2427879955,268,1
vag_apos,961900635913424896,391,1
davgeri,357631685,400,1
a_avlonitis,1161547840449130497,478,1
E_Achtsioglou,1051860153191096321,398,1
annavayena,3377051099,292,1
sokrvardakis,773986323422146561,463,1
chrisvernard,417017633,123,1
dimitrisvitsas,4031768219,245,1
olgagerovasili,2786227298,126,1
giannoul,359478003,440,1
NatasaGkara,583853188,468,1
teleftheriadou,1293462895842545664,494,1
CZachariadis,204069781,412,1
ZeybekHuseyin,338861628,458,1
IgoumenidisN,907201823613837312,374,1
dckalamatianos,2952906353,419,1
ninakasimati,267790532,352,1
gkatr,42008209,159,1
marios_katsis,3325625573,345,1
VASILISKOKKALHS,555858535,46,1
spyroslappas1,1232684640202317825,491,1
KiriakiMalama,1150482424134086659,465,1
Mamoulakis,823985090925576194,426,1
A_Meikopoulos,1001342479,219,1
imouzalas,4187615537,430,1
ybalafas,1728198787,225,1
kostasbarkas,4178705584,275,1
alterglobal,24637896,393,1
thanos_moraitis,404205439,396,1
katenotopoulou,983983199012425728,443,1
Xanthopoulosth,1192464378240614400,486,1
andreasxanthos,1701576919,237,1
marilizaxen,1224671498,466,1
sakis_papad,970306790,479,1
