Algorithm,Dimensions,resolution,# of clusters,Duration,Accuracy,F1-micro,F1-macro,MutualInformation,NormalizedMutualInformation,Modularity,Performance,Coverage
Louvain-Snapshot_1,-,1,3,1 sec,0.9474,0.9474,0.6835,0.7964,0.8487,0.1038,0.4302,0.4302
Louvain-Snapshot_2,-,1,3,1 sec,0.951,0.951,0.6909,0.799,0.8542,0.1047,0.4338,0.4338
Louvain-Snapshot_3,-,1,3,1 sec,0.9583,0.9583,0.7069,0.7985,0.8643,0.1045,0.4466,0.4466
Louvain-Snapshot_4,-,1,3,1 sec,0.926,0.926,0.6584,0.776,0.811,0.1039,0.409,0.409
Louvain-Snapshot_5,-,1,3,1 sec,0.9274,0.9274,0.6609,0.7749,0.8132,0.1027,0.413,0.413
Louvain-Snapshot_6,-,1,3,1 sec,0.9274,0.9274,0.6609,0.7749,0.8132,0.1015,0.413,0.413
Louvain-Snapshot_7,-,1,3,1 sec,0.9305,0.9305,0.6647,0.7787,0.8193,0.1014,0.4158,0.4158
Louvain-Snapshot_8,-,1,3,1 sec,0.9432,0.9432,0.6786,0.7918,0.841,0.1007,0.4266,0.4266
Louvain-Snapshot_9,-,1,3,1 sec,0.9432,0.9432,0.6786,0.7918,0.841,0.1015,0.4266,0.4266
Louvain-Snapshot_10,-,1,3,1 sec,0.9474,0.9474,0.6835,0.7964,0.8487,0.1018,0.4302,0.4302
Louvain-Snapshot_11,-,1,3,1 sec,0.9474,0.9474,0.6835,0.7964,0.8487,0.1021,0.4302,0.4302
Louvain-Snapshot_12,-,1,3,1 sec,0.9474,0.9474,0.6835,0.7964,0.8487,0.1031,0.4302,0.4302
Louvain-Snapshot_13,-,1,3,1 sec,0.9579,0.9579,0.6972,0.8116,0.8729,0.1031,0.4401,0.4401
Louvain-Snapshot_14,-,1,3,1 sec,0.9579,0.9579,0.6972,0.8116,0.8729,0.1039,0.4401,0.4401
Louvain-Snapshot_15,-,1,3,1 sec,0.9579,0.9579,0.7079,0.793,0.8615,0.1038,0.4504,0.4504
Louvain-Snapshot_16,-,1,3,1 sec,0.9579,0.9579,0.7079,0.793,0.8615,0.1041,0.4504,0.4504
Louvain-Snapshot_17,-,1,3,1 sec,0.9579,0.9579,0.7079,0.793,0.8615,0.1052,0.4504,0.4504
Louvain-Snapshot_18,-,1,3,1 sec,0.9684,0.9684,0.7247,0.8113,0.891,0.1065,0.4611,0.4611
Louvain-Snapshot_19,-,1,4,3 sec,0.9246,0.9246,0.3983,0.8422,0.8253,0.1199,0.4414,0.4414
Louvain-Snapshot_20,-,1,4,3 sec,0.9246,0.9246,0.3983,0.8422,0.8253,0.1217,0.4414,0.4414
Louvain-Snapshot_21,-,1,3,3 sec,0.9296,0.9296,0.4549,0.8157,0.8172,0.121,0.4425,0.4425
Louvain-Snapshot_22,-,1,4,3 sec,0.9246,0.9246,0.4015,0.8476,0.8335,0.1213,0.4439,0.4439
Louvain-Snapshot_23,-,1,4,3 sec,0.9296,0.9296,0.4067,0.866,0.856,0.1203,0.4491,0.4491
Louvain-Snapshot_24,-,1,4,3 sec,0.9332,0.9332,0.4087,0.8889,0.8742,0.1219,0.4456,0.4456
Louvain-Snapshot_25,-,1,4,3 sec,0.9347,0.9347,0.4096,0.8987,0.882,0.124,0.4441,0.4441
Louvain-Snapshot_26,-,1,4,2 sec,0.9347,0.9347,0.4096,0.8987,0.882,0.1257,0.4441,0.4441
Louvain-Snapshot_27,-,1,4,2 sec,0.9394,0.9394,0.4154,0.9189,0.9028,0.1269,0.4452,0.4452
Louvain-Snapshot_28,-,1,4,3 sec,0.9394,0.9394,0.4154,0.9189,0.9028,0.1278,0.4452,0.4452
Louvain-Snapshot_29,-,1,4,3 sec,0.9447,0.9447,0.4209,0.9354,0.926,0.1286,0.4517,0.4517
