Algorithm,Dimensions,resolution,# of clusters,Duration,Accuracy,F1-micro,F1-macro,MutualInformation,NormalizedMutualInformation,Modularity,Performance,Coverage
Louvain,-,0.5,4,4 sec,0.7202,0.7202,0.3647,0.5519,0.5935,0.1239,0.5658,0.5647
Louvain,-,0.6,9,4 sec,0.6029,0.6029,0.3008,0.641,0.6477,0.1315,0.5185,0.5157
Louvain,-,0.7,10,5 sec,0.5558,0.5558,0.3008,0.7238,0.6938,0.1368,0.4754,0.472
Louvain,-,0.8,5,5 sec,0.9112,0.9112,0.6673,0.8066,0.775,0.1428,0.462,0.4589
Louvain,-,0.9,5,6 sec,0.9343,0.9343,0.7677,0.9814,0.8909,0.1489,0.4102,0.4064
Louvain,-,1.0,4,6 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.1,5,6 sec,0.695,0.695,0.7029,0.9988,0.7773,0.1326,0.2627,0.257
Louvain,-,1.2,10,6 sec,0.5182,0.5182,0.2161,0.9787,0.6837,0.1234,0.2226,0.2164
Louvain,-,1.3,17,8 sec,0.2707,0.2707,0.0811,0.9712,0.588,0.1069,0.1662,0.1593
Louvain,-,0.5,4,5 sec,0.7202,0.7202,0.3647,0.5519,0.5935,0.1239,0.5658,0.5647
Louvain,-,0.6,9,5 sec,0.6029,0.6029,0.3008,0.641,0.6477,0.1315,0.5185,0.5157
Louvain,-,0.7,10,5 sec,0.5558,0.5558,0.3008,0.7238,0.6938,0.1368,0.4754,0.472
Louvain,-,0.8,5,5 sec,0.9112,0.9112,0.6673,0.8066,0.775,0.1428,0.462,0.4589
Louvain,-,0.9,5,6 sec,0.9343,0.9343,0.7677,0.9814,0.8909,0.1489,0.4102,0.4064
Louvain,-,1.0,4,7 sec,0.9669,0.9669,0.7776,1.0096,0.9293,0.1518,0.4221,0.4183
Louvain,-,1.1,5,7 sec,0.695,0.695,0.7029,0.9988,0.7773,0.1326,0.2627,0.257
Louvain,-,1.2,10,7 sec,0.5182,0.5182,0.2161,0.9787,0.6837,0.1234,0.2226,0.2164
Louvain,-,1.3,17,7 sec,0.2707,0.2707,0.0811,0.9712,0.588,0.1069,0.1662,0.1593
Louvain,-,1.4,30,7 sec,0.212,0.212,0.042,0.9981,0.5326,0.0935,0.1355,0.1258
