Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,4,50,5,0.5,2,4,125.7,0.6343,0.695,0.5597,0.6111,0.5164,0.0963,0.2727,0.2667
Node2Vec,4,50,5,1,1,4,128.93,0.6678,0.7187,0.5835,0.6319,0.5423,0.0978,0.2834,0.2776
Node2Vec,4,50,5,2,0.5,4,129.63,0.6715,0.7065,0.5788,0.6212,0.5431,0.096,0.2902,0.2843
Node2Vec,4,50,10,0.5,2,4,274.41,0.7901,0.8521,0.7354,0.7491,0.7261,0.1055,0.3418,0.3377
Node2Vec,4,50,10,1,1,4,249.5,0.8702,0.8709,0.78,0.7657,0.7994,0.1227,0.3812,0.3782
Node2Vec,4,50,10,2,0.5,4,287.18,0.7913,0.8376,0.7183,0.7365,0.7046,0.0998,0.3386,0.334
Node2Vec,4,50,20,0.5,2,4,441.68,0.8855,0.9126,0.8203,0.8023,0.8437,0.1233,0.388,0.3849
Node2Vec,4,50,20,1,1,4,482.7,0.9281,0.9282,0.8509,0.816,0.8911,0.1397,0.414,0.4113
Node2Vec,4,50,20,2,0.5,4,513.78,0.8331,0.8893,0.7807,0.7819,0.785,0.1046,0.362,0.3574
Node2Vec,4,100,5,0.5,2,4,262.25,0.8496,0.8687,0.7756,0.7638,0.7921,0.1173,0.3809,0.3768
Node2Vec,4,100,5,1,1,4,217.76,0.8252,0.8359,0.7332,0.735,0.7358,0.1108,0.3593,0.3552
Node2Vec,4,100,5,2,0.5,4,218.01,0.7806,0.8273,0.7043,0.7273,0.6854,0.0952,0.3276,0.3228
Node2Vec,4,100,10,0.5,2,4,432.18,0.8934,0.9062,0.8194,0.7967,0.8473,0.1257,0.3939,0.3906
Node2Vec,4,100,10,1,1,4,446.54,0.9128,0.924,0.843,0.8123,0.8787,0.1319,0.4041,0.4012
Node2Vec,4,100,10,2,0.5,4,430.54,0.8616,0.884,0.7898,0.7773,0.8077,0.1152,0.3805,0.3766
Node2Vec,4,100,20,0.5,2,4,857.25,0.9302,0.9377,0.8624,0.8244,0.9064,0.1403,0.42,0.416
Node2Vec,4,100,20,1,1,4,858.36,0.9186,0.9442,0.8582,0.8302,0.8914,0.1345,0.4077,0.4026
Node2Vec,4,100,20,2,0.5,4,859.01,0.9393,0.9491,0.8726,0.8344,0.9157,0.1412,0.4219,0.4167
Node2Vec,4,200,5,0.5,2,4,431.97,0.8657,0.9055,0.806,0.7961,0.8215,0.1161,0.3778,0.3738
Node2Vec,4,200,5,1,1,4,432.56,0.8669,0.8906,0.7923,0.783,0.8063,0.1153,0.3751,0.3722
Node2Vec,4,200,5,2,0.5,4,432.34,0.9165,0.9022,0.8226,0.7932,0.8565,0.1343,0.4081,0.4043
Node2Vec,4,200,10,0.5,2,4,899.04,0.9533,0.9417,0.875,0.8279,0.9279,0.1491,0.4322,0.429
Node2Vec,4,200,10,1,1,4,1177.44,0.9153,0.9227,0.8427,0.8112,0.8805,0.1345,0.4084,0.4054
Node2Vec,4,200,10,2,0.5,4,988.24,0.9529,0.9396,0.8744,0.8261,0.9288,0.148,0.4371,0.4327
Node2Vec,4,200,20,0.5,2,4,1956.74,0.9562,0.9547,0.8881,0.8394,0.9429,0.1492,0.4363,0.432
Node2Vec,4,200,20,1,1,4,1729.55,0.9339,0.9426,0.8663,0.8287,0.9096,0.1408,0.4223,0.4173
Node2Vec,4,200,20,2,0.5,4,1761.52,0.9566,0.9617,0.8936,0.8455,0.9476,0.1487,0.4373,0.4319
