Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,8,50,5,0.5,2,5,1 min 40 sec,0.6124,0.7996,0.6029,0.703,0.5279,0.0745,0.2416,0.2348
Node2Vec,8,50,5,1,1,5,1 min 40 sec,0.5917,0.7649,0.5772,0.6725,0.5061,0.0714,0.2434,0.2364
Node2Vec,8,50,5,2,0.5,5,1 min 42 sec,0.5926,0.7743,0.5854,0.6807,0.5139,0.0771,0.2458,0.239
Node2Vec,8,50,10,0.5,2,5,3 min 12 sec,0.7475,0.9317,0.7392,0.8191,0.6735,0.0705,0.282,0.2767
Node2Vec,8,50,10,1,1,5,3 min 13 sec,0.7409,0.9097,0.7206,0.7998,0.6557,0.0667,0.2802,0.275
Node2Vec,8,50,10,2,0.5,5,3 min 11 sec,0.7488,0.9221,0.7315,0.8107,0.6664,0.0686,0.2819,0.2768
Node2Vec,8,50,20,0.5,2,5,6 min 15 sec,0.7508,0.9363,0.7423,0.8232,0.6759,0.0677,0.2816,0.2763
Node2Vec,8,50,20,1,1,5,6 min 18 sec,0.7504,0.9241,0.7343,0.8125,0.6699,0.0652,0.2833,0.2782
Node2Vec,8,50,20,2,0.5,5,6 min 15 sec,0.7471,0.9262,0.7342,0.8143,0.6685,0.0646,0.2818,0.276
Node2Vec,8,100,5,0.5,2,5,3 min 14 sec,0.7413,0.9331,0.738,0.8204,0.6707,0.0759,0.2788,0.2738
Node2Vec,8,100,5,1,1,5,3 min 17 sec,0.7397,0.9198,0.7285,0.8087,0.6629,0.067,0.2797,0.2744
Node2Vec,8,100,5,2,0.5,5,3 min 15 sec,0.7322,0.9195,0.7277,0.8084,0.6617,0.0678,0.2786,0.2733
Node2Vec,8,100,10,0.5,2,5,6 min 20 sec,0.7455,0.9189,0.7299,0.8079,0.6656,0.0655,0.2828,0.2775
Node2Vec,8,100,10,1,1,5,6 min 28 sec,0.7504,0.9263,0.7361,0.8144,0.6715,0.0666,0.2835,0.2782
Node2Vec,8,100,10,2,0.5,5,6 min 22 sec,0.7508,0.9246,0.7339,0.8129,0.6689,0.0656,0.2833,0.2774
Node2Vec,8,100,20,0.5,2,5,12 min 40 sec,0.7661,0.9295,0.7399,0.8172,0.676,0.0662,0.2879,0.2822
Node2Vec,8,100,20,1,1,5,12 min 46 sec,0.7512,0.943,0.7459,0.8291,0.6779,0.0654,0.2826,0.2759
Node2Vec,8,100,20,2,0.5,5,12 min 37 sec,0.7599,0.9356,0.7418,0.8226,0.6755,0.0626,0.2863,0.279
Node2Vec,8,200,5,0.5,2,5,6 min 27 sec,0.7401,0.9215,0.7302,0.8102,0.6647,0.0664,0.2803,0.2751
Node2Vec,8,200,5,1,1,5,6 min 27 sec,0.7368,0.8939,0.7097,0.7859,0.6469,0.0628,0.2815,0.2763
Node2Vec,8,200,5,2,0.5,5,6 min 26 sec,0.7537,0.9259,0.735,0.8141,0.67,0.065,0.2825,0.2772
Node2Vec,8,200,10,0.5,2,5,12 min 44 sec,0.7558,0.9257,0.7365,0.8138,0.6726,0.0649,0.2851,0.2799
Node2Vec,8,200,10,1,1,5,12 min 43 sec,0.745,0.9323,0.7405,0.8196,0.6753,0.0649,0.2843,0.2784
Node2Vec,8,200,10,2,0.5,5,12 min 41 sec,0.7574,0.9323,0.74,0.8197,0.6744,0.0633,0.2873,0.2801
Node2Vec,8,200,20,0.5,2,5,25 min 16 sec,0.7517,0.9489,0.7525,0.8343,0.6854,0.066,0.2843,0.2779
Node2Vec,8,200,20,1,1,5,25 min 26 sec,0.7579,0.9539,0.7563,0.8387,0.6887,0.0661,0.2863,0.2792
Node2Vec,8,200,20,2,0.5,5,25 min 22 sec,0.7632,0.9459,0.7501,0.8317,0.6831,0.0641,0.2873,0.2798
