Algorithm,Dimensions,Duration,Number of Clusters,Hyperparameters,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,8,40.6 sec,4,walk_len=20 walk_num=5 p=0.5 q=2,0.5,0.36,0.29,0.32,0.27,0.05,0.26,0.26
Node2Vec,8,40.5 sec,4,walk_len=20 walk_num=5 p=1 q=1,0.49,0.32,0.25,0.28,0.23,0.05,0.26,0.26
Node2Vec,8,40.9 sec,4,walk_len=20 walk_num=5 p=2 q=0.5,0.51,0.36,0.29,0.31,0.26,0.05,0.26,0.26
Node2Vec,8,288.2 sec,4,walk_len=20 walk_num=40 p=0.5 q=2,0.96,0.96,0.89,0.84,0.94,0.15,0.43,0.43
Node2Vec,8,289.5 sec,4,walk_len=20 walk_num=40 p=1 q=1,0.96,0.96,0.88,0.84,0.93,0.15,0.43,0.42
Node2Vec,8,288.0 sec,4,walk_len=20 walk_num=40 p=2 q=0.5,0.96,0.96,0.89,0.85,0.94,0.15,0.43,0.42
Node2Vec,8,571.0 sec,4,walk_len=20 walk_num=80 p=0.5 q=2,0.96,0.98,0.91,0.87,0.96,0.15,0.43,0.43
Node2Vec,8,571.7 sec,4,walk_len=20 walk_num=80 p=1 q=1,0.96,0.98,0.91,0.87,0.95,0.15,0.43,0.42
Node2Vec,8,573.5 sec,4,walk_len=20 walk_num=80 p=2 q=0.5,0.96,0.98,0.91,0.87,0.96,0.15,0.43,0.43
Node2Vec,8,187.1 sec,4,walk_len=100 walk_num=5 p=0.5 q=2,0.95,0.94,0.87,0.83,0.92,0.15,0.43,0.43
Node2Vec,8,187.9 sec,4,walk_len=100 walk_num=5 p=1 q=1,0.95,0.95,0.88,0.83,0.92,0.15,0.43,0.42
Node2Vec,8,187.3 sec,4,walk_len=100 walk_num=5 p=2 q=0.5,0.91,0.92,0.83,0.81,0.86,0.13,0.4,0.4
Node2Vec,8,1463.5 sec,4,walk_len=100 walk_num=40 p=0.5 q=2,0.96,0.99,0.92,0.87,0.96,0.15,0.43,0.42
Node2Vec,8,1463.0 sec,4,walk_len=100 walk_num=40 p=1 q=1,0.96,0.99,0.92,0.87,0.96,0.15,0.43,0.42
Node2Vec,8,1466.1 sec,4,walk_len=100 walk_num=40 p=2 q=0.5,0.96,0.98,0.91,0.87,0.95,0.15,0.43,0.43
Node2Vec,8,2929.6 sec,4,walk_len=100 walk_num=80 p=0.5 q=2,0.96,0.98,0.91,0.87,0.96,0.15,0.43,0.43
Node2Vec,8,2932.2 sec,4,walk_len=100 walk_num=80 p=1 q=1,0.97,1.0,0.92,0.88,0.97,0.15,0.43,0.42
Node2Vec,8,2928.6 sec,4,walk_len=100 walk_num=80 p=2 q=0.5,0.96,0.99,0.91,0.87,0.96,0.15,0.43,0.43
Node2Vec,8,0372.6 sec,4,walk_len=200 walk_num=5 p=0.5 q=2,0.96,0.96,0.89,0.84,0.94,0.15,0.43,0.43
Node2Vec,8,0372.5 sec,4,walk_len=200 walk_num=5 p=1 q=1,0.96,0.96,0.89,0.84,0.94,0.15,0.43,0.43
Node2Vec,8,0373.0 sec,4,walk_len=200 walk_num=5 p=2 q=0.5,0.96,0.95,0.88,0.83,0.94,0.15,0.43,0.43
Node2Vec,8,2964.6 sec,4,walk_len=200 walk_num=40 p=0.5 q=2,0.96,0.99,0.91,0.87,0.96,0.15,0.43,0.42
Node2Vec,8,2949.1 sec,4,walk_len=200 walk_num=40 p=1 q=1,0.97,1.0,0.92,0.87,0.96,0.15,0.43,0.42
Node2Vec,8,2961.2 sec,4,walk_len=200 walk_num=40 p=2 q=0.5,0.96,0.98,0.9,0.86,0.95,0.15,0.43,0.43
Node2Vec,8,5895.7 sec,4,walk_len=200 walk_num=80 p=0.5 q=2,0.96,0.99,0.91,0.87,0.96,0.15,0.43,0.42
